Code département;Commune;Inscrits 2020;Nuance 2020;Maire 2020;% Voix 2020;Tour 2020;Inscrits 2026;Nuance 2026;Maire 2026;% Voix 2026;Tour 2026
1;Anglefort;751;LNC;Bernard THIBOUD;100;T1;903;Non disponible;Non disponible;57,26%;T1
1;Chevry;956;LNC;Thierry LEYVRAZ;50,11;T1;1240;Non disponible;Non disponible;61,68%;T1
1;Civrieux;1276;LNC;Gérard PORRETTI;79,13;T1;1436;Non disponible;Non disponible;100,00%;T1
1;Coligny;880;LNC;Bruno RAFFIN;74,95;T1;961;Non disponible;Non disponible;100,00%;T1
1;Collonges;1255;LNC;Lionel PERREAL;100;T1;1471;Non disponible;Non disponible;84,12%;T1
1;Confrançon;909;LNC;Jean Paul BUELLET;50,52;T1;949;Non disponible;Non disponible;100,00%;T1
1;Corbonod;783;LNC;Patrick CHAPEL;60,92;T1;848;Non disponible;Non disponible;56,43%;T1
1;Cormoranche-sur-Saône;825;LNC;Jacques PALLOT;57,79;T1;951;Non disponible;Non disponible;100,00%;T1
1;Bresse Vallons;1598;LNC;Virginie GRIGNOLA-BERNARD;100;T1;1819;Non disponible;Non disponible;100,00%;T1
1;Crottet;1288;LNC;Jean-Philippe LHOTELAIS;55,22;T1;1373;Non disponible;Non disponible;100,00%;T1
1;Crozet;1204;LNC;Martine JOUANNET;55,72;T1;1309;Non disponible;Non disponible;69,70%;T1
1;Culoz;1897;LNC;Franck ANDRE-MASSE;76,54;T1;2348;Non disponible;Non disponible;56,20%;T1
1;Arbent;2241;LNC;Philippe CRACCHIOLO;60,57;T1;2315;LDVD;Non disponible;100,00%;T1
1;Dagneux;3227;LDVD;Carine COUTURIER;100;T1;3490;LDIV;Non disponible;71,48%;T1
1;Divonne-les-Bains;6266;LDVD;Vincent SCATTOLIN;65,04;T1;6660;LDVD;Non disponible;52,79%;T1
1;Dompierre-sur-Veyle;811;LNC;Martine TABOURET;100;T1;945;Non disponible;Non disponible;100,00%;T1
1;Dortan;1338;LNC;Marianne DUBARE;59,75;T1;1340;Non disponible;Non disponible;54,97%;T1
1;Douvres;816;LNC;Christian LIMOUSIN;65,16;T1;884;Non disponible;Non disponible;50,80%;T1
1;Druillat;847;LNC;Jean-Luc EMIN;66,46;T1;883;Non disponible;Non disponible;100,00%;T1
1;Echenevex;1267;LNC;Isabelle PASSUELLO;67,77;T1;1434;Non disponible;Non disponible;58,59%;T1
1;Fareins;1751;LNC;Yves DUMOULIN;100;T1;1975;Non disponible;Non disponible;100,00%;T1
1;Farges;546;LNC;Monique GRAZIOTTI;100;T1;691;Non disponible;Non disponible;100,00%;T1
1;Feillens;2576;LNC;Guy BILLOUDET;64,44;T1;2713;Non disponible;Non disponible;78,99%;T1
1;Foissiat;1571;LNC;Jean-Luc PICARD;56,3;T1;1574;Non disponible;Non disponible;56,60%;T1
1;Francheleins;1031;LNC;Jean-Michel LUX;100;T1;1161;Non disponible;Non disponible;100,00%;T1
1;Frans;1713;LNC;Michelle NUGUET;100;T1;1865;Non disponible;Non disponible;100,00%;T1
1;Beard-Géovreissiat;700;LNC;Laurent COMTET;100;T1;734;Non disponible;Non disponible;100,00%;T1
1;Gex;6501;LDVD;Patrice DUNAND;71,35;T1;7024;LDVD;Non disponible;73,20%;T1
1;Grièges;1420;LNC;Annick GREMY;100;T1;1554;Non disponible;Non disponible;100,00%;T1
